season,team1,team2,date,match_number,venue,City,State,latitude,longitude,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2023/24,New Zealand,Pakistan,04-11-2023,35,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9626,77.5802,Pakistan,field,Fakhar Zaman,P Wilson,RA Kettleborough,JS Wilson,RB Richardson,Pakistan,21,,Group
2023/24,Australia,England,04-11-2023,36,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0011,72.516,England,field,A Zampa,CB Gaffaney,M Erasmus,Ahsan Raza,JJ Crowe,Australia,33,,Group
2023/24,India,South Africa,05-11-2023,37,Eden Gardens,Kolkata,West Bengal,22.5652,88.3538,India,bat,V Kohli,HDPK Dharmasena,PR Reiffel,AG Wharf,AJ Pycroft,India,243,,Group
2023/24,Sri Lanka,Bangladesh,06-11-2023,38,Arun Jaitley Stadium,Delhi,Delhi,28.609,77.2232,Bangladesh,field,Shakib Al Hasan,M Erasmus,RK Illingworth,AT Holdstock,RB Richardson,Bangladesh,,3,Group
2023/24,Afghanistan,Australia,07-11-2023,39,Wankhede Stadium,Mumbai,Maharashtra,19.0896,72.8652,Afghanistan,bat,GJ Maxwell,AG Wharf,MA Gough,Sharfuddoula,JJ Crowe,Australia,,3,Group
2023/24,England,Netherlands,08-11-2023,40,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5214,73.846,England,bat,BA Stokes,Ahsan Raza,RJ Tucker,P Wilson,AJ Pycroft,England,160,,Group
2023/24,Sri Lanka,New Zealand,09-11-2023,41,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9601,77.5893,New Zealand,field,TA Boult,AT Holdstock,JS Wilson,PR Reiffel,J Srinath,New Zealand,,5,Group
2023/24,Afghanistan,South Africa,10-11-2023,42,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0456,72.529,Afghanistan,bat,HE van der Dussen,CM Brown,Nitin Menon,CB Gaffaney,JJ Crowe,South Africa,,5,Group
2023/24,Bangladesh,Australia,11-11-2023,43,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5112,73.8556,Australia,field,MR Marsh,Ahsan Raza,M Erasmus,RA Kettleborough,AJ Pycroft,Australia,,8,Group
2023/24,England,Pakistan,11-11-2023,44,Eden Gardens,Kolkata,West Bengal,22.573,88.3488,England,bat,DJ Willey,P Wilson,RJ Tucker,PR Reiffel,J Srinath,England,93,,Group
2023/24,India,Netherlands,12-11-2023,45,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9611,77.5951,India,bat,SS Iyer,CB Gaffaney,MA Gough,CM Brown,RB Richardson,India,160,,Group
2023/24,India,New Zealand,15-11-2023,46,Wankhede Stadium,Mumbai,Maharashtra,19.099,72.8447,India,bat,Mohammed Shami,RK Illingworth,RJ Tucker,AT Holdstock,AJ Pycroft,India,70,,Semi Final
2023/24,South Africa,Australia,16-11-2023,47,Eden Gardens,Kolkata,West Bengal,22.5753,88.3529,South Africa,bat,TM Head,Nitin Menon,RA Kettleborough,MA Gough,J Srinath,Australia,,3,Semi Final
2023/24,India,Australia,19-11-2023,48,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0508,72.5381,Australia,field,TM Head,RK Illingworth,RA Kettleborough,CB Gaffaney,AJ Pycroft,Australia,,6,Final
